Game_Id,Home_Or_Away,Win_Or_Loss,Home_Team_Stats,Away_Team_Stats
2014020277,away,win,"{'teamSkaterStats': {'goals': 5, 'pim': 10, 'shots': 27, 'powerPlayPercentage': '50.0', 'powerPlayGoals': 3.0, 'powerPlayOpportunities': 6.0, 'faceOffWinPercentage': '47.8', 'blocked': 12, 'takeaways': 5, 'giveaways': 23, 'hits': 32}}","{'teamSkaterStats': {'goals': 2, 'pim': 14, 'shots': 32, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '52.2', 'blocked': 11, 'takeaways': 4, 'giveaways': 7, 'hits': 20}}"
2014020290,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 10, 'shots': 30, 'powerPlayPercentage': '33.3', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '58.1', 'blocked': 20, 'takeaways': 9, 'giveaways': 19, 'hits': 27}}","{'teamSkaterStats': {'goals': 2, 'pim': 6, 'shots': 28, 'powerPlayPercentage': '20.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '41.9', 'blocked': 26, 'takeaways': 7, 'giveaways': 13, 'hits': 20}}"
2014020302,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 4, 'shots': 50, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '57.4', 'blocked': 10, 'takeaways': 10, 'giveaways': 8, 'hits': 9}}","{'teamSkaterStats': {'goals': 2, 'pim': 8, 'shots': 30, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '42.6', 'blocked': 11, 'takeaways': 13, 'giveaways': 6, 'hits': 14}}"
2014020315,home,loss,"{'teamSkaterStats': {'goals': 1, 'pim': 8, 'shots': 30, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '60.7', 'blocked': 8, 'takeaways': 6, 'giveaways': 4, 'hits': 35}}","{'teamSkaterStats': {'goals': 4, 'pim': 8, 'shots': 39, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '39.3', 'blocked': 10, 'takeaways': 4, 'giveaways': 2, 'hits': 25}}"
2014020327,home,loss,"{'teamSkaterStats': {'goals': 1, 'pim': 6, 'shots': 28, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '57.6', 'blocked': 10, 'takeaways': 5, 'giveaways': 6, 'hits': 30}}","{'teamSkaterStats': {'goals': 0, 'pim': 2, 'shots': 33, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '42.4', 'blocked': 14, 'takeaways': 2, 'giveaways': 3, 'hits': 29}}"
2014020341,home,loss,"{'teamSkaterStats': {'goals': 3, 'pim': 11, 'shots': 46, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '54.7', 'blocked': 9, 'takeaways': 5, 'giveaways': 4, 'hits': 38}}","{'teamSkaterStats': {'goals': 2, 'pim': 11, 'shots': 24, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '45.3', 'blocked': 15, 'takeaways': 4, 'giveaways': 5, 'hits': 37}}"
2014020358,away,win,"{'teamSkaterStats': {'goals': 2, 'pim': 6, 'shots': 23, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '55.4', 'blocked': 20, 'takeaways': 7, 'giveaways': 4, 'hits': 39}}","{'teamSkaterStats': {'goals': 1, 'pim': 4, 'shots': 25, 'powerPlayPercentage': '33.3', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 3.0, 'faceOffWinPercentage': '44.6', 'blocked': 6, 'takeaways': 6, 'giveaways': 5, 'hits': 25}}"
2014020368,away,win,"{'teamSkaterStats': {'goals': 3, 'pim': 2, 'shots': 41, 'powerPlayPercentage': '25.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 4.0, 'faceOffWinPercentage': '57.1', 'blocked': 8, 'takeaways': 3, 'giveaways': 12, 'hits': 13}}","{'teamSkaterStats': {'goals': 4, 'pim': 8, 'shots': 31, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '42.9', 'blocked': 14, 'takeaways': 3, 'giveaways': 4, 'hits': 21}}"
2014020382,home,loss,"{'teamSkaterStats': {'goals': 3, 'pim': 9, 'shots': 55, 'powerPlayPercentage': '20.0', 'powerPlayGoals': 1.0, 'powerPlayOpportunities': 5.0, 'faceOffWinPercentage': '62.7', 'blocked': 8, 'takeaways': 7, 'giveaways': 5, 'hits': 29}}","{'teamSkaterStats': {'goals': 3, 'pim': 17, 'shots': 20, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '37.3', 'blocked': 27, 'takeaways': 6, 'giveaways': 2, 'hits': 40}}"
2014020395,home,loss,"{'teamSkaterStats': {'goals': 3, 'pim': 9, 'shots': 37, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 1.0, 'faceOffWinPercentage': '48.1', 'blocked': 8, 'takeaways': 1, 'giveaways': 2, 'hits': 44}}","{'teamSkaterStats': {'goals': 2, 'pim': 7, 'shots': 28, 'powerPlayPercentage': '0.0', 'powerPlayGoals': 0.0, 'powerPlayOpportunities': 2.0, 'faceOffWinPercentage': '51.9', 'blocked': 13, 'takeaways': 4, 'giveaways': 5, 'hits': 40}}"
